app_id,app_id_categorical
246900,1273
1732190,10754
647570,5674
447570,3909
804320,6695
418370,3584
214490,874
530620,4668
375950,3059
1030760,7932
405640,3435
470220,4169
732690,6230
461560,4072
319510,2264
324810,2342
520010,4570
555160,4865
438100,3805
203290,737
617830,5461
582660,5126
620980,5489
607260,5365
1235140,9108
1293160,9397
286160,1816
459820,4050
469610,4158
1113000,8402
360870,2853
397460,3340
209080,817
702670,6038
201810,726
383080,3141
1049410,8046
1150690,8628
251270,1336
1567020,10333
638110,5609
284410,1785
206440,780
38600,448
1259640,9228
678970,5892
1570160,10350
1574580,10362
272060,1649
200710,713
233470,1093
269210,1608
739240,6271
942970,7459
669380,5824
786990,6583
1064540,8136
552590,4837
1172450,8756
479140,4219
299680,1994
236090,1131
1361230,9637
820910,6789
943260,7461
230050,1052
218410,919
840260,6905
815950,6765
1205240,8943
544810,4760
1146630,8597
1254900,9199
8190,161
769560,6477
788770,6596
48190,537
566190,4955
876850,7118
346330,2641
749340,6357
1128810,8493
1122750,8459
367450,2947
621000,5490
1004210,7786
570840,5000
1213210,8987
597220,5262
239140,1176
426790,3656
235460,1122
1229490,9080
785790,6574
304930,2072
22380,326
221910,963
1557740,10311
108600,684
1745510,10784
760060,6422
881100,7138
250520,1321
386180,3189
250900,1329
508440,4459
223470,978
700330,6022
519860,4569
1160220,8681
753640,6378
246090,1265
201790,725
1055540,8072
403640,3418
435150,3770
1082430,8233
979120,7658
582550,5123
1269950,9285
743450,6301
1194840,8886
1289640,9382
1291340,9390
331690,2433
1067310,8152
440880,3833
998740,7758
1909420,11076
600990,5299
698670,6010
1109840,8386
1285670,9365
1140890,8559
1604000,10453
1449850,9965
758330,6409
1703340,10686
1361210,9636
773370,6500
380580,3111
260930,1481
1363430,9643
303390,2050
826480,6827
447270,3906
915200,7311
211820,849
392110,3272
260230,1471
261820,1493
65930,600
225080,999
200510,712
488280,4275
206420,779
667890,5813
509980,4479
221100,955
261550,1488
594650,5238
8930,169
107410,680
825310,6821
376210,3060
552990,4841
594570,5237
251060,1330
1015140,7844
518790,4563
335000,2482
352520,2727
1250,26
397060,3334
22350,324
595280,5244
630,23
427290,3662
493340,4328
369990,2989
228300,1040
629760,5553
280,11
1556200,10304
1237950,9116
803330,6689
1150760,8629
225840,1010
1010750,7816
1583720,10390
340,14
397740,3346
317400,2237
335670,2489
1286710,9372
578080,5081
306130,2087
573090,5021
424030,3637
374320,3038
254920,1409
252870,1375
2270,41
203770,743
275850,1692
383120,3142
501590,4401
1173820,8776
765100,6460
285160,1800
557340,4886
212500,860
10,0
356190,2775
313240,2174
380,15
4570,102
897330,7227
389730,3237
914750,7309
55150,557
1789270,10862
1687550,10652
1721470,10725
838390,6886
538070,4715
960170,7539
1397980,9787
332480,2446
247080,1277
1869590,11016
1580970,10377
1680400,10640
576470,5066
360740,2850
1414020,9841
1173770,8771
514890,4532
776670,6525
32450,386
1026820,7915
405310,3434
502820,4416
1132190,8515
1275640,9314
1460830,10002
21000,302
1554790,10297
1493800,10106
323850,2326
1792010,10866
1431610,9906
105600,675
251570,1345
221680,961
238370,1163
755790,6391
257750,1437
812810,6742
579840,5098
364470,2906
526160,4622
242760,1212
1509960,10162
1608470,10469
610080,5381
1799930,10887
266110,1569
692890,5977
264200,1542
1446780,9953
1497950,10120
1914580,11087
858210,7000
321830,2296
2067920,11274
1328660,9513
